#Firmware: Speeduino 2023.05
PriLevel,SecLevel,ThirdLevel,Trigger,Sync,Cycle,RefTime,ToothTime,Time
Flag,Flag,Flag,Flag,Flag,Flag,ms,ms,ms
1.0,0.0,0.0,0.0,0.0,0.0,13765.072,90.972,13765.072
0.0,0.0,0.0,0.0,0.0,0.0,13768.088,3.016,13768.088
1.0,0.0,0.0,0.0,0.0,0.0,13775.404,7.316,13775.404
0.0,0.0,0.0,0.0,0.0,0.0,13778.456,3.052,13778.456
1.0,0.0,0.0,0.0,0.0,0.0,13783.592,5.136,13783.592
0.0,0.0,0.0,0.0,0.0,0.0,13786.376,2.784,13786.376
1.0,0.0,0.0,0.0,0.0,0.0,13790.58,4.204,13790.58
0.0,0.0,0.0,0.0,0.0,0.0,13793.188,2.608,13793.188
1.0,0.0,0.0,0.0,0.0,0.0,13796.968,3.78,13796.968
0.0,0.0,0.0,0.0,0.0,0.0,13799.484,2.516,13799.484
1.0,0.0,0.0,0.0,0.0,0.0,13803.084,3.6,13803.084
0.0,0.0,0.0,0.0,0.0,0.0,13805.548,2.464,13805.548
1.0,0.0,0.0,0.0,0.0,0.0,13809.104,3.556,13809.104
0.0,0.0,0.0,0.0,0.0,0.0,13811.532,2.428,13811.532
1.0,0.0,0.0,0.0,0.0,0.0,13815.12,3.588,13815.12
0.0,0.0,0.0,0.0,0.0,0.0,13817.592,2.472,13817.592
1.0,0.0,0.0,0.0,0.0,0.0,13821.296,3.704,13821.296
0.0,0.0,0.0,0.0,0.0,0.0,13823.8,2.504,13823.8
1.0,0.0,0.0,0.0,0.0,0.0,13827.676,3.876,13827.676
0.0,0.0,0.0,0.0,0.0,0.0,13830.288,2.612,13830.288
1.0,0.0,0.0,0.0,0.0,0.0,13834.292,4.004,13834.292
0.0,0.0,0.0,0.0,0.0,0.0,13837.252,2.96,13837.252
0.0,1.0,0.0,1.0,0.0,0.0,13849.608,12.356,13849.608
1.0,1.0,0.0,0.0,0.0,0.0,13852.668,3.06,13852.668
0.0,1.0,0.0,0.0,0.0,0.0,13852.72,0.052,13852.72
1.0,1.0,0.0,0.0,0.0,0.0,13852.812,0.092,13852.812
0.0,1.0,0.0,0.0,0.0,0.0,13858.284,5.472,13858.284
0.0,0.0,0.0,1.0,0.0,0.0,13858.588,0.304,13858.588
1.0,0.0,0.0,0.0,0.0,0.0,13863.792,5.204,13863.792
0.0,0.0,0.0,0.0,0.0,0.0,13866.804,3.012,13866.804
1.0,0.0,0.0,0.0,0.0,0.0,13873.336,6.532,13873.336
0.0,0.0,0.0,0.0,0.0,0.0,13876.524,3.188,13876.524
1.0,0.0,0.0,0.0,0.0,0.0,13885.152,8.628,13885.152
0.0,0.0,0.0,0.0,0.0,0.0,13888.212,3.06,13888.212
1.0,0.0,0.0,0.0,0.0,0.0,13898.4,10.188,13898.4
0.0,0.0,0.0,0.0,0.0,0.0,13901.5,3.1,13901.5
1.0,0.0,0.0,0.0,0.0,0.0,13910.22,8.72,13910.22
0.0,0.0,0.0,0.0,0.0,0.0,13913.532,3.312,13913.532
1.0,0.0,0.0,0.0,0.0,0.0,13919.62,6.088,13919.62
0.0,0.0,0.0,0.0,0.0,0.0,13922.692,3.072,13922.692
1.0,0.0,0.0,0.0,0.0,0.0,13927.18,4.488,13927.18
0.0,0.0,0.0,0.0,0.0,0.0,13930.0,2.82,13930.0
1.0,0.0,0.0,0.0,0.0,0.0,13933.712,3.712,13933.712
0.0,0.0,0.0,0.0,0.0,0.0,13936.336,2.624,13936.336
1.0,0.0,0.0,0.0,0.0,0.0,13939.696,3.36,13939.696
0.0,0.0,0.0,0.0,0.0,0.0,13942.232,2.536,13942.232
1.0,0.0,0.0,0.0,0.0,0.0,13945.436,3.204,13945.436
0.0,0.0,0.0,0.0,0.0,0.0,13947.928,2.492,13947.928
1.0,0.0,0.0,0.0,0.0,0.0,13951.064,3.136,13951.064
0.0,0.0,0.0,0.0,0.0,0.0,13953.544,2.48,13953.544
1.0,0.0,0.0,0.0,0.0,0.0,13956.7,3.156,13956.7
0.0,0.0,0.0,0.0,0.0,0.0,13959.184,2.484,13959.184
1.0,0.0,0.0,0.0,0.0,0.0,13962.42,3.236,13962.42
0.0,0.0,0.0,0.0,0.0,0.0,13964.932,2.512,13964.932
1.0,0.0,0.0,0.0,0.0,0.0,13968.296,3.364,13968.296
0.0,0.0,0.0,0.0,0.0,0.0,13970.904,2.608,13970.904
1.0,0.0,0.0,0.0,0.0,0.0,13974.396,3.492,13974.396
0.0,0.0,0.0,0.0,0.0,0.0,13977.84,3.444,13977.84
0.0,1.0,0.0,1.0,0.0,0.0,13989.124,11.284,13989.124
1.0,1.0,0.0,0.0,0.0,0.0,13991.472,2.348,13991.472
0.0,1.0,0.0,0.0,0.0,0.0,13997.48,6.008,13997.48
0.0,0.0,0.0,1.0,0.0,0.0,13997.832,0.352,13997.832
1.0,0.0,0.0,0.0,0.0,0.0,14018.524,20.692,14018.524
0.0,0.0,0.0,0.0,0.0,0.0,14023.196,4.672,14023.196
1.0,0.0,0.0,0.0,0.0,0.0,14032.98,9.784,14032.98
0.0,0.0,0.0,0.0,0.0,0.0,14035.932,2.952,14035.932
1.0,0.0,0.0,0.0,0.0,0.0,14043.736,7.804,14043.736
0.0,0.0,0.0,0.0,0.0,0.0,14046.816,3.08,14046.816
1.0,0.0,0.0,0.0,0.0,0.0,14052.664,5.848,14052.664
0.0,0.0,0.0,0.0,0.0,0.0,14055.58,2.916,14055.58
1.0,0.0,0.0,0.0,0.0,0.0,14060.092,4.512,14060.092
0.0,0.0,0.0,0.0,0.0,0.0,14062.752,2.66,14062.752
1.0,0.0,0.0,0.0,0.0,0.0,14066.576,3.824,14066.576
0.0,0.0,0.0,0.0,0.0,0.0,14069.088,2.512,14069.088
1.0,0.0,0.0,0.0,0.0,0.0,14072.588,3.5,14072.588
0.0,0.0,0.0,0.0,0.0,0.0,14075.02,2.432,14075.02
1.0,0.0,0.0,0.0,0.0,0.0,14078.384,3.364,14078.384
0.0,0.0,0.0,0.0,0.0,0.0,14080.768,2.384,14080.768
1.0,0.0,0.0,0.0,0.0,0.0,14084.096,3.328,14084.096
0.0,0.0,0.0,0.0,0.0,0.0,14086.456,2.36,14086.456
