#Firmware: Speeduino 2023.06-dev
PriLevel,SecLevel,ThirdLevel,Trigger,Sync,Cycle,RefTime,ToothTime,Time
Flag,Flag,Flag,Flag,Flag,Flag,ms,ms,ms
0.0,0.0,0.0,0.0,1.0,0.0,978126.9,50.084,978126.9
1.0,0.0,0.0,0.0,1.0,0.0,978130.5,3.6,978130.5
0.0,0.0,0.0,0.0,1.0,0.0,978133.1,2.66,978133.1
1.0,0.0,0.0,0.0,1.0,0.0,978136.56,3.448,978136.56
0.0,0.0,0.0,0.0,1.0,0.0,978139.25,2.64,978139.25
1.0,0.0,0.0,0.0,1.0,0.0,978142.7,3.432,978142.7
0.0,0.0,0.0,0.0,1.0,0.0,978145.3,2.628,978145.3
1.0,0.0,0.0,0.0,1.0,0.0,978148.75,3.484,978148.75
0.0,0.0,0.0,0.0,1.0,0.0,978151.44,2.664,978151.44
1.0,0.0,0.0,0.0,1.0,0.0,978155.06,3.608,978155.06
0.0,0.0,0.0,0.0,1.0,0.0,978157.75,2.704,978157.75
1.0,0.0,0.0,0.0,1.0,0.0,978161.56,3.796,978161.56
0.0,0.0,0.0,0.0,1.0,0.0,978164.4,2.82,978164.4
1.0,0.0,0.0,0.0,1.0,0.0,978168.25,3.908,978168.25
0.0,0.0,0.0,0.0,1.0,0.0,978171.9,3.568,978171.9
1.0,0.0,0.0,0.0,1.0,0.0,978186.3,14.464,978186.3
0.0,0.0,0.0,0.0,1.0,0.0,978192.7,6.372,978192.7
1.0,0.0,0.0,0.0,1.0,0.0,978215.4,22.692,978215.4
0.0,0.0,0.0,0.0,1.0,0.0,978220.06,4.68,978220.06
1.0,0.0,0.0,0.0,1.0,0.0,978230.6,10.564,978230.6
0.0,0.0,0.0,0.0,1.0,0.0,978233.6,3.024,978233.6
1.0,0.0,0.0,0.0,1.0,0.0,978241.94,8.284,978241.94
0.0,0.0,0.0,0.0,1.0,0.0,978245.1,3.188,978245.1
1.0,0.0,0.0,0.0,1.0,0.0,978251.3,6.212,978251.3
0.0,0.0,0.0,0.0,1.0,0.0,978254.4,3.044,978254.4
1.0,0.0,0.0,0.0,1.0,0.0,978259.1,4.776,978259.1
0.0,0.0,0.0,0.0,1.0,0.0,978261.94,2.78,978261.94
1.0,0.0,0.0,0.0,1.0,0.0,978266.0,4.064,978266.0
0.0,0.0,0.0,0.0,1.0,0.0,978268.6,2.62,978268.6
1.0,0.0,0.0,0.0,1.0,0.0,978272.3,3.728,978272.3
0.0,0.0,0.0,0.0,1.0,0.0,978274.9,2.548,978274.9
1.0,0.0,0.0,0.0,1.0,0.0,978278.5,3.592,978278.5
0.0,0.0,0.0,0.0,1.0,0.0,978281.0,2.512,978281.0
1.0,0.0,0.0,0.0,1.0,0.0,978284.56,3.58,978284.56
0.0,0.0,0.0,0.0,1.0,0.0,978287.06,2.484,978287.06
1.0,0.0,0.0,0.0,1.0,0.0,978290.7,3.632,978290.7
0.0,0.0,0.0,0.0,1.0,0.0,978293.2,2.528,978293.2
1.0,0.0,0.0,0.0,1.0,0.0,978297.0,3.76,978297.0
0.0,0.0,0.0,0.0,1.0,0.0,978299.56,2.564,978299.56
1.0,0.0,0.0,0.0,1.0,0.0,978303.44,3.928,978303.44
0.0,0.0,0.0,0.0,1.0,0.0,978306.1,2.676,978306.1
1.0,0.0,0.0,0.0,1.0,0.0,978310.25,4.08,978310.25
0.0,0.0,0.0,0.0,1.0,0.0,978313.25,3.02,978313.25
1.0,0.0,0.0,0.0,1.0,0.0,978328.7,15.472,978328.7
0.0,0.0,0.0,0.0,1.0,0.0,978334.3,5.584,978334.3
1.0,0.0,0.0,0.0,1.0,0.0,978339.56,5.268,978339.56
0.0,0.0,0.0,0.0,1.0,0.0,978342.56,3.028,978342.56
1.0,0.0,0.0,0.0,1.0,0.0,978348.44,5.848,978348.44
0.0,0.0,0.0,0.0,1.0,0.0,978351.6,3.216,978351.6
1.0,0.0,0.0,0.0,1.0,0.0,978358.75,7.076,978358.75
0.0,0.0,0.0,0.0,1.0,1.0,978362.06,3.312,978362.06
1.0,0.0,0.0,0.0,1.0,1.0,978370.0,7.94,978370.0
0.0,0.0,0.0,0.0,1.0,1.0,978373.3,3.324,978373.3
1.0,0.0,0.0,0.0,1.0,1.0,978380.6,7.324,978380.6
0.0,0.0,0.0,0.0,1.0,1.0,978383.94,3.336,978383.94
1.0,0.0,0.0,0.0,1.0,1.0,978389.75,5.776,978389.75
0.0,0.0,0.0,0.0,1.0,1.0,978392.9,3.128,978392.9
1.0,0.0,0.0,0.0,1.0,1.0,978397.44,4.588,978397.44
0.0,0.0,0.0,0.0,1.0,1.0,978400.4,2.928,978400.4
1.0,0.0,0.0,0.0,1.0,1.0,978404.4,3.956,978404.4
0.0,0.0,0.0,0.0,1.0,1.0,978407.1,2.76,978407.1
1.0,0.0,0.0,0.0,1.0,1.0,978410.75,3.656,978410.75
0.0,0.0,0.0,0.0,1.0,1.0,978413.44,2.7,978413.44
1.0,0.0,0.0,0.0,1.0,1.0,978417.0,3.536,978417.0
0.0,0.0,0.0,0.0,1.0,1.0,978419.7,2.672,978419.7
1.0,0.0,0.0,0.0,1.0,1.0,978423.2,3.528,978423.2
0.0,0.0,0.0,0.0,1.0,1.0,978425.9,2.676,978425.9
1.0,0.0,0.0,0.0,1.0,1.0,978429.5,3.6,978429.5
0.0,0.0,0.0,0.0,1.0,1.0,978432.2,2.7,978432.2
1.0,0.0,0.0,0.0,1.0,1.0,978435.94,3.736,978435.94
0.0,0.0,0.0,0.0,1.0,1.0,978438.6,2.748,978438.6
1.0,0.0,0.0,0.0,1.0,1.0,978442.56,3.932,978442.56
0.0,0.0,0.0,0.0,1.0,1.0,978445.44,2.84,978445.44
1.0,0.0,0.0,0.0,1.0,1.0,978449.25,3.832,978449.25
0.0,0.0,0.0,0.0,1.0,1.0,978452.9,3.596,978452.9
1.0,0.0,0.0,0.0,1.0,1.0,978467.56,14.716,978467.56
0.0,0.0,0.0,0.0,1.0,1.0,978473.9,6.292,978473.9
1.0,0.0,0.0,0.0,1.0,1.0,978496.0,22.164,978496.0
0.0,0.0,0.0,0.0,1.0,1.0,978500.8,4.788,978500.8
1.0,0.0,0.0,0.0,1.0,1.0,978510.6,9.808,978510.6
0.0,0.0,0.0,0.0,1.0,1.0,978513.7,3.068,978513.7
1.0,0.0,0.0,0.0,1.0,1.0,978521.56,7.856,978521.56
0.0,0.0,0.0,0.0,1.0,1.0,978524.7,3.168,978524.7
1.0,0.0,0.0,0.0,1.0,1.0,978530.8,6.124,978530.8
0.0,0.0,0.0,0.0,1.0,1.0,978533.9,3.024,978533.9
1.0,0.0,0.0,0.0,1.0,1.0,978538.7,4.84,978538.7
0.0,0.0,0.0,0.0,1.0,1.0,978541.5,2.812,978541.5
1.0,0.0,0.0,0.0,1.0,1.0,978545.7,4.188,978545.7
0.0,0.0,0.0,0.0,1.0,1.0,978548.4,2.676,978548.4
1.0,0.0,0.0,0.0,1.0,1.0,978552.25,3.884,978552.25
0.0,0.0,0.0,0.0,1.0,1.0,978554.9,2.608,978554.9
1.0,0.0,0.0,0.0,1.0,1.0,978558.6,3.776,978558.6
0.0,0.0,0.0,0.0,1.0,1.0,978561.25,2.58,978561.25
1.0,0.0,0.0,0.0,1.0,1.0,978565.0,3.788,978565.0
0.0,0.0,0.0,0.0,1.0,1.0,978567.56,2.556,978567.56
1.0,0.0,0.0,0.0,1.0,1.0,978571.44,3.88,978571.44
0.0,0.0,0.0,0.0,1.0,1.0,978574.06,2.588,978574.06
1.0,0.0,0.0,0.0,1.0,1.0,978578.06,4.052,978578.06
0.0,0.0,0.0,0.0,1.0,1.0,978580.75,2.636,978580.75
1.0,0.0,0.0,0.0,1.0,1.0,978584.94,4.188,978584.94
0.0,0.0,0.0,0.0,1.0,1.0,978587.6,2.688,978587.6
1.0,0.0,0.0,0.0,1.0,1.0,978591.7,4.064,978591.7
0.0,0.0,0.0,0.0,1.0,1.0,978594.75,3.108,978594.75
1.0,0.0,0.0,0.0,1.0,1.0,978610.9,16.096,978610.9
0.0,0.0,0.0,0.0,1.0,1.0,978616.44,5.588,978616.44
1.0,0.0,0.0,0.0,1.0,1.0,978621.94,5.48,978621.94
0.0,0.0,0.0,0.0,1.0,1.0,978624.94,2.992,978624.94
1.0,0.0,0.0,0.0,1.0,1.0,978631.1,6.208,978631.1
0.0,0.0,0.0,0.0,1.0,1.0,978634.25,3.136,978634.25
1.0,0.0,0.0,0.0,1.0,1.0,978641.6,7.34,978641.6
0.0,0.0,0.0,0.0,1.0,0.0,978644.8,3.176,978644.8
1.0,0.0,0.0,0.0,1.0,0.0,978653.1,8.32,978653.1
0.0,0.0,0.0,0.0,1.0,0.0,978656.25,3.164,978656.25
1.0,0.0,0.0,0.0,1.0,0.0,978663.9,7.62,978663.9
0.0,0.0,0.0,0.0,1.0,0.0,978667.1,3.232,978667.1
1.0,0.0,0.0,0.0,1.0,0.0,978673.06,5.924,978673.06
0.0,0.0,0.0,0.0,1.0,0.0,978676.1,3.08,978676.1
1.0,0.0,0.0,0.0,1.0,0.0,978680.8,4.704,978680.8
0.0,0.0,0.0,0.0,1.0,0.0,978683.75,2.928,978683.75
1.0,0.0,0.0,0.0,1.0,0.0,978687.8,4.06,978687.8
0.0,0.0,0.0,0.0,1.0,0.0,978690.6,2.784,978690.6
1.0,0.0,0.0,0.0,1.0,0.0,978694.4,3.768,978694.4
0.0,0.0,0.0,0.0,1.0,0.0,978697.1,2.74,978697.1
1.0,0.0,0.0,0.0,1.0,0.0,978700.75,3.66,978700.75
0.0,0.0,0.0,0.0,1.0,0.0,978703.5,2.716,978703.5
1.0,0.0,0.0,0.0,1.0,0.0,978707.1,3.664,978707.1
0.0,0.0,0.0,0.0,1.0,0.0,978709.9,2.732,978709.9
0.0,0.0,0.0,0.0,1.0,0.0,978902.0,192.124,978902.0
1.0,0.0,0.0,0.0,1.0,0.0,978907.4,5.388,978907.4
0.0,0.0,0.0,0.0,1.0,0.0,978910.44,3.04,978910.44
1.0,0.0,0.0,0.0,1.0,0.0,978916.4,5.924,978916.4
0.0,0.0,0.0,0.0,1.0,0.0,978919.56,3.208,978919.56
1.0,0.0,0.0,0.0,1.0,0.0,978926.5,6.908,978926.5
0.0,0.0,0.0,0.0,1.0,1.0,978929.8,3.304,978929.8
1.0,0.0,0.0,0.0,1.0,1.0,978937.44,7.644,978937.44
0.0,0.0,0.0,0.0,1.0,1.0,978940.75,3.304,978940.75
1.0,0.0,0.0,0.0,1.0,1.0,978947.8,7.076,978947.8
0.0,0.0,0.0,0.0,1.0,1.0,978951.1,3.336,978951.1
1.0,0.0,0.0,0.0,1.0,1.0,978956.9,5.748,978956.9
0.0,0.0,0.0,0.0,1.0,1.0,978960.0,3.136,978960.0
1.0,0.0,0.0,0.0,1.0,1.0,978964.7,4.688,978964.7
0.0,0.0,0.0,0.0,1.0,1.0,978967.7,2.964,978967.7
1.0,0.0,0.0,0.0,1.0,1.0,978971.8,4.112,978971.8
0.0,0.0,0.0,0.0,1.0,1.0,978974.6,2.82,978974.6
1.0,0.0,0.0,0.0,1.0,1.0,978978.44,3.844,978978.44
0.0,0.0,0.0,0.0,1.0,1.0,978981.25,2.776,978981.25
1.0,0.0,0.0,0.0,1.0,1.0,978985.0,3.76,978985.0
0.0,0.0,0.0,0.0,1.0,1.0,978987.75,2.76,978987.75
1.0,0.0,0.0,0.0,1.0,1.0,978991.56,3.784,978991.56
0.0,0.0,0.0,0.0,1.0,1.0,978994.3,2.772,978994.3
1.0,0.0,0.0,0.0,1.0,1.0,978998.2,3.892,978998.2
0.0,0.0,0.0,0.0,1.0,1.0,979001.0,2.812,979001.0
1.0,0.0,0.0,0.0,1.0,1.0,979005.06,4.064,979005.06
0.0,0.0,0.0,0.0,1.0,1.0,979007.94,2.832,979007.94
1.0,0.0,0.0,0.0,1.0,1.0,979011.9,3.992,979011.9
0.0,0.0,0.0,0.0,1.0,1.0,979014.75,2.84,979014.75
1.0,0.0,0.0,0.0,1.0,1.0,979018.75,4.004,979018.75
0.0,0.0,0.0,0.0,1.0,1.0,979022.44,3.716,979022.44
1.0,0.0,0.0,0.0,1.0,1.0,979037.7,15.224,979037.7
0.0,0.0,0.0,0.0,1.0,1.0,979044.06,6.376,979044.06
1.0,0.0,0.0,0.0,1.0,1.0,979066.3,22.28,979066.3
0.0,0.0,0.0,0.0,1.0,1.0,979071.2,4.852,979071.2
1.0,0.0,0.0,0.0,1.0,1.0,979080.6,9.464,979080.6
0.0,0.0,0.0,0.0,1.0,1.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
0.0,0.0,0.0,0.0,0.0,0.0,979083.75,3.072,979083.75
MARK 000
1.0,0.0,0.0,0.0,1.0,1.0,979135.94,52.224,979135.94
0.0,0.0,0.0,0.0,1.0,1.0,979138.56,2.624,979138.56
