//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 10-1-2023
//--  Time: 11:9
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: 73(F), 	Resistance 1: 2316 Ohms 
//--    Temperature2: 163(F), 	Resistance 2: 430 Ohms 
//--    Temperature3: 206(F), 	Resistance 3: 210 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	180.00	1800 	0.000
1	266.81	2668 	0.156
2	218.66	2187 	0.313
3	191.29	1913 	0.469
4	171.94	1719 	0.625
5	156.81	1568 	0.781
6	144.26	1443 	0.938
7	133.44	1334 	1.094
8	123.84	1238 	1.250
9	115.13	1151 	1.406
10	107.10	1071 	1.563
11	99.58	996 	1.719
12	92.46	925 	1.875
13	85.64	856 	2.031
14	79.05	790 	2.188
15	72.61	726 	2.344
16	66.28	663 	2.500
17	59.99	600 	2.656
18	53.69	537 	2.813
19	47.34	473 	2.969
20	40.87	409 	3.125
21	34.21	342 	3.281
22	27.28	273 	3.438
23	19.98	200 	3.594
24	12.17	122 	3.750
25	3.67	37 	3.906
26	-5.81	-58 	4.063
27	-16.74	-167 	4.219
28	-29.98	-300 	4.375
29	180.00	1800 	4.531
30	180.00	1800 	4.688
31	180.00	1800 	4.844
